id,description_feature_1,description_feature_2,description_feature_3
919337853730100178,Perfect for extended stays, Near educational institutions, Not suitable for couples  
919342004447565402,Central location, Close to restaurants and cafes, Near cultural attractions  
925096537800224567,Historic neighborhood, Near major landmarks, Spacious living areas  
925127794306488748,Central location, Close to restaurants and cafes, Quiet area  
925186899969486658,Accessible for reduced mobility, Pet-friendly, Cozy atmosphere  
919362146487281443,Luxury apartment, Central location, Near cultural attractions  
919371228114461671,Luxury apartment, Central location, Close to restaurants and cafes  
919377524813158147,Near public transportation, Quiet area, Nearby parks or green spaces  
919393422650660114,Near public transportation, Close to local markets, Charming old-town vibe
919400235661862943,Quiet area, Cozy atmosphere, Good natural lighting  
919459570347343157,Central location, Modern apartment, Family-friendly  
919464555743287519,Historic neighborhood, Fully equipped kitchen, Near public transportation  
919525691525508332,Near major landmarks, Luxury apartment, Family-friendly  
919546660038786656,Quiet area, Nearby parks or green spaces, Scenic walking routes nearby  
925193865284919308,Cozy atmosphere, Ideal for couples, Includes high-speed WiFi  
925226456071446052,Central location, Near public transportation, Spacious living areas  
925297118633660060,Central location, Family-friendly, Close to restaurants and cafes  
925319046707863327,Near the beach, Quiet area, Close to cultural attractions  
925357299875420324,Good natural lighting, Quiet area, Cozy atmosphere
925892985131114922,Near the beach, Cozy atmosphere, Close to restaurants and cafes  
925909773943668049,Central location, Close to shopping areas, Family-friendly  
926016154810473524,Ideal for couples, Near public transportation, Close to restaurants and cafes  
919609956312542700,Near cultural attractions, Quiet area, Close to public transportation  
919648884905087453,Historic neighborhood, Luxury apartment, Central location  
919655789894011481,none,,
920046127298260640,Historic neighborhood, Luxury apartment, Central location  
920129966966782661,none,,
920159725027517108,Quiet area, Perfect for extended stays, Near cultural attractions  
920171745064526765,Charming old-town vibe, Modern apartment, Quiet area  
920185064125855501,Compact and efficient studio, Central location, Good natural lighting  
920199015490279591,Central location, Stylish and modern decor, Ideal for couples
920225424667643433,Suitable for solo travelers, Quiet area, Near educational institutions  
926021119843775923,Family-friendly, Central location, Near public transportation  
926301051409654237,Central location, Quiet area, Good natural lighting  
926501307947014560,Central location, Quiet area, Cozy atmosphere  
926505793392937922,Family-friendly, Near major landmarks, Panoramic city views  
926555538193769079,Suitable for solo travelers, Quiet area, Remote work setup  
926664974934706525,Perfect for extended stays, Panoramic city views, Fully equipped kitchen  
926708660367541344,Family-friendly, Quiet area, Safe neighborhood  
926745843879128829,Central location, Close to local markets, Good natural lighting  
926872478771780262,Central location, Close to restaurants and cafes, Fully equipped kitchen
927033567868640968,Eco-friendly features, Near public transportation, Charming old-town vibe  
920253619858121551,Close to restaurants and cafes, Quiet area, Good natural lighting  
920281458118251876,Near public transportation, Women only, Includes cleaning service  
920352739906238430,Relaxing travel, Ideal for couples, Stylish and modern decor  
920762877761307289,Modern apartment, Near cultural attractions, Central location  
920951294467421000,Near major landmarks, Quiet area, Charming old-town vibe  
921511132076704644,Near cultural attractions, Central location, Charming old-town vibe  
928600397518844476,Central location, Close to shopping areas, Spacious living areas  
928636950080816925,Modern apartment, Near public transportation, Close to local markets  
928655138806191772,Central location, Near public transportation, Good natural lighting
928694975167882091,Central location, Near public transportation, Budget-friendly  
927222069190996845,Fully equipped kitchen, Central location, Cozy atmosphere  
927333899136233788,Historic neighborhood, Good natural lighting, Near major landmarks  
927344523229823470,Central location, Panoramic city views, Family-friendly  
928732245514416152,Fully equipped kitchen, Includes cleaning service, Quiet area  
928818439522893811,Luxury apartment, Spacious living areas, Good natural lighting  
928854494406959653,Family-friendly, Quiet area, Good natural lighting  
928858931931967122,Central location, Quiet area, Good natural lighting  
928897023973317892,Central location, Close to restaurants and cafes, Lively neighborhood  
928919721429139226,Quiet area, Includes high-speed WiFi, Remote work setup
928941163244537984,Pet-friendly, Good natural lighting, Quiet area  
929307684874113374,Good natural lighting, Quiet area, Perfect for extended stays  
929421699242376397,Central location, Near public transportation, Spacious living areas  
927418121223302860,Central location, Luxury apartment, Ideal for couples  
927450113275498780,Central location, Good natural lighting, Quiet street  
927459364489548149,Quiet area, Central location, Cozy atmosphere  
927459508526831609,Stylish and modern decor, Perfect for group travel, Spacious living areas  
927467292260925420,Quiet area, Near public transportation, Perfect for extended stays  
927473141140817874,Perfect for extended stays, Stylish and modern decor, Family-friendly  
929525264941304733,Central location, Ideal for couples, Cozy atmosphere
929559234986493092,Panoramic city views, Near a river or waterfront, Beachfront property
929565466960376987,Central location, Cozy atmosphere, Fully equipped kitchen
929584082224227137,Central location, Rooftop terrace or balcony, Cozy atmosphere
929587353980274886,Quiet area, Central location, Charming old-town vibe
929613165768883776,Central location, Close to restaurants and cafes, Near cultural attractions
929632443710687267,Central location, Panoramic city views, Luxury apartment
929801923644245029,Central location, Suitable for solo travelers, Charming old-town vibe
929816226518316943,Perfect for extended stays, Business traveler-friendly, Quiet area
929852191195850951,Central location, Close to restaurants and cafes, Family-friendly
927488281061647354,Modern apartment, Fully equipped kitchen, Includes high-speed WiFi
927568566272136335,Central location, Modern apartment, Fully equipped kitchen  
927994954023404258,Central location, Near public transportation, Fully equipped kitchen  
928016448943105434,Central location, Panoramic city views, Stylish and modern decor  
928033811042001828,Quiet area, Perfect for extended stays, Fully equipped kitchen  
928045357910465057,Central location, Suitable for solo travelers, Remote work setup  
930056296715807458,Luxury apartment, Close to nightlife, Event hosting space  
930116559650929901,Central location, Perfect for extended stays, Fully equipped kitchen  
930133486617310867,Central location, Rooftop terrace or balcony, Good natural lighting  
930147098892082565,Near public transportation, Close to beaches, Good natural lighting  
930169616372617575,Central location, Quiet area, Pet-friendly
930181688778953621,Unique architectural design, Stylish and modern decor, Spacious living areas  
930181781454381444,Panoramic city views, Near cultural attractions, Scenic walking routes nearby  
930181792384043084,Panoramic city views, Near cultural attractions, Unique architectural design  
930182361134070316,Panoramic city views, Near cultural attractions, Spacious living areas  
930186560287418918,Panoramic city views, Near major landmarks, Outdoor terrace or balcony  
928062946438071942,Fully equipped kitchen, Budget-friendly, Remote work setup  
928064853637346916,Central location, Near public transportation, Near major landmarks  
928066316051986726,Fully equipped kitchen, Budget-friendly, Remote work setup  
928069083115212573,Fully equipped kitchen, Budget-friendly, Remote work setup  
928112814248141060,none,,
928138089418828960,Suitable for solo travelers, Near educational institutions, Cozy atmosphere
928171736971546786,Perfect for extended stays, Stylish and modern decor, Central location  
928190549913763317,Family-friendly, Quiet area, Ideal for couples  
928249134845042681,Unique architectural design, Stylish and modern decor, Luxury apartment  
928365307127786240,Central location, Modern apartment, Compact and efficient studio  
928376386908074016,Quiet area, Near public transportation, Great for food lovers  
930188293537766351,Unique architectural design, Stylish and modern decor, Luxury apartment  
930227874924247960,Central location, Ideal for couples, Perfect for digital nomads  
930246201288768627,Cozy atmosphere, Near major landmarks, Pet-friendly  
930304173764709348,Central location, Close to restaurants and cafes, Near public transportation  
930388554418127685,Ideal for couples, Near major landmarks, Budget-friendly
930423023825761698,Quiet area, Pet-friendly, Perfect for extended stays  
930818979541095712,Historic neighborhood, Artistic atmosphere, Near cultural attractions  
930832834615462511,Central location, Fully equipped kitchen, Quiet area  
930936763960035776,Central location, Good natural lighting, Close to restaurants and cafes  
934744940544483763,Quiet area, Near public transportation, Safe neighborhood  
934779540094729209,Central location, Fully equipped kitchen, Includes high-speed WiFi  
934796857314156664,Quiet area, Near a river or waterfront, Ideal for couples  
934821444310330709,Quiet area, Central location, Fully equipped kitchen  
934887607421709289,Quiet area, Central location, Stylish and modern decor  
934966366861135154,Central location, Includes cleaning service, Spacious living areas
930956542229200068,Luxury apartment, Central location, Quiet area  
931012013750266564,Near cultural attractions, Central location, Cozy atmosphere  
931591920999936286,Family-friendly, Near public transportation, Central location  
931871743791657871,Ideal for couples, Quiet area, Close to restaurants and cafes  
932024839663210765,Central location, Easy access, Quiet area  
932056963203047601,Near beaches, Family-friendly, Modern apartment  
932321308830770664,Close to sports stadiums, Near public transportation, Fully equipped kitchen  
932363898355014121,Central location, Near public transportation, Quiet area  
932385496343675264,Central location, Near major landmarks, Family-friendly  
932408838051849078,Quiet area, Close to local markets, Near public transportation
932454660997786885,Central location, Family-friendly, Fully equipped kitchen  
935225159751610079,Perfect for extended stays, Ideal for couples, Cozy atmosphere  
935235060186211208,Central location, Remote work setup, Good natural lighting  
935293020961594238,Central location, Close to public transportation, Cozy atmosphere  
935310683204878073,Quiet area, Good natural lighting, Close to restaurants and cafes  
935316234633420936,Spacious living areas, Remote work setup, Good natural lighting  
935338608116852575,Close to restaurants and cafes, Cozy atmosphere, Near cultural attractions  
935340590559425882,Good natural lighting, Nearby parks or green spaces, Quiet area  
935358952557422895,Convenient for digital nomads, Near public transportation, Close to local markets  
935380276698687066,Central location, Family-friendly, With private parking
932485969303753536,Central location, Quiet street, Historic neighborhood  
932506218920267278,Central location, Near public transportation, Ideal for couples  
932511823039185362,Central location, Near public transportation, Ideal for couples  
932512621540814053,Central location, Cozy atmosphere, Family-friendly  
932533120390075705,Central location, Walkable neighborhood, Close to the beach  
932569596868861320,Spacious living areas, Modern apartment, Family-friendly  
932711286818111942,Central location, Close to restaurants and cafes, Walkable neighborhood  
932723887559658273,Central location, Unique architectural design, Modern apartment  
932851242487239796,Central location, Near educational institutions, Ideal for couples  
932860242702722475,Budget-friendly, Central location, Spacious living areas
935465808218132484,Central location, Near public transportation, Fully equipped kitchen  
935520410252576440,Central location, Flexible check-in, Ideal for couples  
935532324255802712,Quiet area, Cozy atmosphere, Spacious living areas  
935564339374823717,Luxury apartment, Cozy atmosphere, Remote work setup  
935925704021384609,Modern apartment, Near public transportation, Family-friendly  
935946660793838796,Quiet area, Suitable for solo travelers, Remote work setup  
936044365202000779,Central location, Near cultural attractions, Stylish and modern decor  
933051831227466200,Rooftop terrace or balcony, Luxury apartment, Panoramic city views  
933071125000316968,Central location, Ideal for couples, Charming old-town vibe  
933079571210870248,Near public transportation, Family-friendly, Spacious living areas
933083341530233229,Luxury apartment, Historic neighborhood, Central location  
933088452972045025,Cozy atmosphere, Ideal for couples, Good natural lighting  
933089085155394402,Central location, Stylish and modern decor, Boutique apartment  
933136210658218217,Near public transportation, Quiet area, Modern apartment  
933147563036023662,Central location, Quiet area, Nearby parks or green spaces  
933170485394698500,Remote work setup, Quiet street, Suitable for solo travelers  
933185799760621381,Remote work setup, Quiet street, Suitable for solo travelers  
933198493827748835,Remote work setup, Spacious living areas, Suitable for solo travelers  
936049105469737301,Quiet area, Warm and relaxing ambiance, Urban retreat  
936051382691009259,Near cultural attractions, Central location, Good natural lighting
936080678340256960,Central location, Family-friendly, Modern apartment  
936104848171276056,Stylish and modern decor, Ideal for couples, Perfect for extended stays  
936143488605005872,Flexible check-in, Central location, Ideal for couples  
936177076407284470,Spacious living areas, Perfect for group travel, Central location  
936248186152348003,Central location, Fully equipped kitchen, Near public transportation  
936259392376276915,Central location, Easy access to public transportation, Spacious living areas  
933201734917755748,Central location, Fully equipped kitchen, Family-friendly  
933205180280298929,Remote work setup, Good natural lighting, Stylish and modern decor  
933212261972644585,Remote work setup, Good natural lighting, Stylish and modern decor  
933219996528740254,Remote work setup, Good natural lighting, Stylish and modern decor
933221005875621154,Ideal for couples, Fully equipped kitchen, Cozy atmosphere  
933228480676301856,Family-friendly, Spacious living areas, Unique architectural design  
933253318140321820,Perfect for extended stays, Budget-friendly, Flexible check-in  
933256945039242042,Perfect for extended stays, Unique architectural design, Stylish and modern decor  
933289586093454376,Suitable for solo travelers, Near public transportation, Close to restaurants and cafes  
933385854138182950,Family-friendly, Quiet area, Near public transportation  
936700949938681246,Suitable for solo travelers, Quiet area, Central location  
936772393554881634,Family-friendly, Stylish and modern decor, Perfect for group travel  
936780623571937240,Family-friendly, Central location, Walkable neighborhood  
936787225784858471,Luxury apartment, Central location, Near major landmarks
936850951611349528,Family-friendly, Central location, Safe neighborhood  
936864236041964171,Central location, Close to restaurants and cafes, Near cultural attractions  
936868092828695972,Central location, Good natural lighting, Spacious living areas  
933511242277304280,Spacious living areas, Fully equipped kitchen, Includes cleaning service  
933804129792900601,Quiet area, Peaceful courtyard access, Cozy atmosphere  
933879881290496856,Central location, Fully equipped kitchen, Good natural lighting  
933891189127664980,Central location, Rooftop terrace or balcony, Ideal for couples  
933990585065140331,Quiet area, Near public transportation, Family-friendly  
934017087756085995,Central location, Near cultural attractions, Walkable neighborhood  
934142447459734356,Spacious living areas, Includes cleaning service, Central location
934154620230933597,Central location, Cozy atmosphere, Fully equipped kitchen  
936872250987697395,Quiet area, Cozy atmosphere, Stylish and modern decor  
936874763073664035,Central location, Modern apartment, Near cultural attractions  
936954368894452365,Close to the beach, Close to restaurants and cafes, Near educational institutions  
937244538625183177,Quiet area, Cozy atmosphere, Suitable for solo travelers  
937447130141428110,Panoramic city views, Luxury apartment, Good natural lighting  
934157582505876805,Spacious living areas, Includes cleaning service, Family-friendly  
934166941016532929,Central location, Fully equipped kitchen, Includes cleaning service  
934185314251811032,Central location, Fully equipped kitchen, Includes cleaning service  
934193849590406151,Central location, Fully equipped kitchen, Includes cleaning service
934203516123973523,Co-living, Fully equipped kitchen, Includes cleaning service  
934213663277546567,Co-living, Fully equipped kitchen, Budget-friendly  
934214756114761819,Co-living, Quiet area, Suitable for solo travelers  
934219460228400625,Co-living, Fully equipped kitchen, Budget-friendly  
934223804138648128,Co-living, Fully equipped kitchen, Budget-friendly  
934232351800925328,Co-living, Fully equipped kitchen, Includes cleaning service  
937465735746863453,Quiet area, Near public transportation, Suitable for solo travelers  
937542443024225274,Central location, Family-friendly, Modern apartment  
937569293104336084,Luxury apartment, Central location, Modern apartment  
937572162260104747,Perfect for extended stays, Fully furnished, Remote work setup
937599889262072313,Perfect for extended stays, Fully equipped kitchen, Cozy atmosphere  
937625080441817252,Central location, Near public transportation, Ideal for couples  
937638767430100121,Central location, Near public transportation, Near cultural attractions  
934239904497296836,Budget-friendly, Shared accommodation, Good natural lighting  
934246342884789714,Budget-friendly, Fully equipped kitchen, Spacious living areas  
934253492450403640,Business traveler-friendly, Suitable for solo travelers, Quiet area  
934268238094434681,Budget-friendly, Shared accommodation, Close to public transportation  
934295713871895103,Modern apartment, Suitable for solo travelers, Peaceful courtyard access  
934447500013738811,Central location, Near public transportation, Safe neighborhood  
934463706767985281,Cozy atmosphere, Includes high-speed WiFi, With private parking
934525261902922027,Ideal for couples, Spacious living areas, Close to educational institutions  
934562199421149361,Central location, Near cultural attractions, Cozy atmosphere  
937642857795458726,Stylish and modern decor, Close to public transportation, Good natural lighting  
937686808100576604,Luxury apartment, Close to shopping areas, With private parking  
937696392212655466,Cozy atmosphere, Perfect for solo travelers, Near cultural attractions  
937801000443888234,Budget-friendly, Close to restaurants and cafes, Accessible for reduced mobility  
938151746844910519,Good natural lighting, Rooftop terrace or balcony, Quiet street  
934569762956936202,Central location, Near cultural attractions, Cozy atmosphere  
934582642259954822,Near the beach, Close to restaurants and cafes, Modern apartment  
934585210852616183,Central location, Near public transportation, Close to restaurants and cafes
934608769183935397,Central location, Near public transportation, Close to beaches  
934618458088578280,Cozy atmosphere, Fully equipped kitchen, Close to restaurants and cafes  
934628711884100070,Central location, Near public transportation, Close to beaches  
934646479645425713,Historic neighborhood, Near cultural attractions, Charming old-town vibe  
934683721142756102,Perfect for extended stays, Modern apartment, Business traveler-friendly  
938209716165226279,Remote work setup, Quiet area, Central location  
938270646203287982,Quiet area, Central location, Cozy atmosphere  
938507926907787250,Central location, Near public transportation, Close to shopping areas  
938559334897137471,Central location, Close to restaurants and cafes, Ideal for couples  
934690183460676973,Cozy atmosphere, Near public transportation, Close to major landmarks
934704325234081423,Central location, Near public transportation, Family-friendly  
942462629794410127,Central location, Good natural lighting, Cozy atmosphere  
942466603438770124,Central location, Ideal for couples, Business traveler-friendly  
942511677079573346,Central location, Family-friendly, Close to shopping areas  
942516701172148854,Central location, Good natural lighting, Cozy atmosphere  
942520225584709465,Business traveler-friendly, Unique architectural design, Includes high-speed WiFi  
938566262506210965,Central location, Close to restaurants and cafes, Suitable for solo travelers  
938571457596679766,Central location, Close to restaurants and cafes, Suitable for solo travelers  
938898698060793117,Quiet area, Near a river or waterfront, Rooftop terrace or balcony  
938919306966277072,Pet-friendly, Quiet area, Near public transportation
942524587838384308,Modern apartment, Ideal for couples, Remote work setup  
942526027839537749,Luxury apartment, Near educational institutions, Spacious living areas  
942560512088367536,Panoramic city views, Family-friendly, Romantic atmosphere  
942564931945558482,Central location, Close to cultural attractions, Ideal for couples  
942644590491106919,Central location, Pet-friendly, Cozy atmosphere  
942657281530434494,Perfect for extended stays, Fully equipped kitchen, Luxury apartment  
942672423478226732,Central location, Near cultural attractions, Quiet area  
938985742501827154,Good natural lighting, Close to public transportation, Safe neighborhood  
938994434686499158,Close to restaurants and cafes, Suitable for solo travelers, Near public transportation  
939015578306198507,Central location, Near public transportation, Ideal for business travelers
939072918910147670,Family-friendly, Rooftop terrace or balcony, Cozy atmosphere  
939096729050903908,Central location, Close to restaurants and cafes, Near cultural attractions  
939117384409559804,Quiet area, Near public transportation, Good natural lighting  
939198517146045701,none,,
939501713361114343,Close to parks or green spaces, Stylish and modern decor, Family-friendly  
942683298762848070,Central location, Charming old-town vibe, Close to restaurants and cafes  
942717010961326664,Quiet area, Near public transportation, Central location  
942746956523045909,Central location, Unique architectural design, Near major landmarks  
942748240017329139,Quiet area, Near public transportation, Close to restaurants and cafes  
942754384124150484,Quiet area, Central location, Warm and relaxing ambiance  
942800380975285125,Quiet area, Ideal for couples, Cozy atmosphere
942832522151093283,Quiet area, Stylish and modern decor, Cozy atmosphere  
942854843507904426,Panoramic city views, Luxury apartment, Ideal for couples  
942893085239347384,Remote work setup, Near public transportation, Quiet area  
939507374753425467,Modern apartment, Fully equipped kitchen, Near parks or green spaces  
939516102896282631,Modern apartment, Fully equipped kitchen, Near parks or green spaces  
939520239602684472,Modern apartment, Fully equipped kitchen, Near parks or green spaces  
939525192172727802,Modern apartment, Fully equipped kitchen, Near parks or green spaces  
943114545136333379,none,,
943130985455160573,none,,
943190246785487854,Central location, Near public transportation, Near the beach  
943241358780975319,Suitable for solo travelers, Central location, Peaceful atmosphere  
943241606657722324,Central location, Near cultural attractions, Budget-friendly
943256218035919745,Central location, Cozy atmosphere, Good natural lighting  
943259002614537325,Central location, Near public transportation, Suitable for solo travelers  
943273426928959199,Central location, Flexible check-in, Good natural lighting  
943329662348700324,Central location, Historic neighborhood, Luxury apartment  
939534752713084100,Central location, Fully equipped kitchen, Nearby parks or green spaces  
939538445548154227,Central location, Fully equipped kitchen, Nearby parks or green spaces  
939544926988227697,Central location, Fully equipped kitchen, Nearby parks or green spaces  
939548143512422268,Central location, Fully equipped kitchen, Nearby parks or green spaces  
939552306627561413,Central location, Fully equipped kitchen, Nearby parks or green spaces  
939556762057369271,Central location, Fully equipped kitchen, Nearby parks or green spaces
939560896311356928,Stylish and modern decor, Near cultural attractions, Nearby parks or green spaces  
939564695547360204,Stylish and modern decor, Near cultural attractions, Nearby parks or green spaces  
939568421768895171,Stylish and modern decor, Near cultural attractions, Nearby parks or green spaces  
943385348921192425,Central location, Family-friendly, Spacious living areas  
943404193332578292,Central location, Fully equipped kitchen, Good natural lighting  
943429056524175366,Central location, Cozy atmosphere, Ideal for couples  
943440538299324133,Central location, Cozy atmosphere, Suitable for solo travelers  
943448925302565569,Central location, Quiet street, Rooftop terrace or balcony  
943468988781752665,Good natural lighting, Cozy atmosphere, Close to cultural attractions  
943510146813652803,Central location, Near public transportation, Ideal for couples
939572663682346555,Stylish and modern decor, Nearby parks or green spaces, Central location  
939600141560445580,Spacious living areas, Includes cleaning service, Remote work setup  
939602219508595492,Good natural lighting, Quiet area, Ideal for solo travelers  
939603272645066734,Compact and efficient studio, Central location, Close to public transportation  
939645761991465289,Luxury apartment, Historic neighborhood, Near major landmarks  
939654345371237595,Spacious living areas, Family-friendly, Close to local markets  
939656946104932157,Spacious living areas, Family-friendly, Quiet area  
939692129763753951,Central location, Near public transportation, Ideal for solo travelers  
939710280509284071,Family-friendly, Central location, Near public transportation  
939939326687743195,Central location, Quiet area, Ideal for couples
939973318879363498,Quiet area, Close to shopping areas, Near public transportation  
940229986942958749,Historic neighborhood, Shared bathroom, Budget-friendly  
943612556506442649,Budget-friendly,Central location, Ideal for couples  
943651566572829741,Central location, Close to restaurants and cafes, Good natural lighting  
943773661720104679,Central location, Includes cleaning service, Ideal for couples  
943928658717986567,Near major landmarks, Good natural lighting, Ideal for couples  
944013906629289330,Near the river or waterfront, Close to restaurants and cafes, Cozy atmosphere  
944079712091288660,Panoramic city views, Remote work setup, Luxury apartment  
944104744613959899,Quiet area, Suitable for solo travelers, Cozy atmosphere  
944119199147995369,Central location, Ideal for digital nomads, Close to restaurants and cafes
944163220931663246,Quiet area, Close to restaurants and cafes, Charming old-town vibe  
940231167686158125,Central location, Close to nightlife, Near public transportation  
940238870732027564,Central location, Good natural lighting, Fully equipped kitchen  
940294293187559249,Central location, Family-friendly, Good natural lighting  
940310267823821432,Ideal for couples, Near public transportation, Stylish and modern decor  
940311093066727407,Central location, Family-friendly, Good natural lighting  
940343300239094647,Panoramic city views, Family-friendly, Cozy atmosphere  
940389383644282019,Central location, Family-friendly, Good natural lighting  
940412897929531268,Central location, Family-friendly, Close to major landmarks  
940419301636882005,Central location, Family-friendly, Close to major landmarks
940472826238472559,Remote work setup, Good natural lighting, Peaceful courtyard access  
940481414217442265,Remote work setup, Central location, Good natural lighting  
940678969871029958,Ideal for couples, Cozy atmosphere, Central location  
940930879956130147,Modern apartment, Stylish and modern decor, Scenic walking routes nearby  
940948838592461031,Family-friendly, Fully equipped kitchen, Laundry facilities included  
941075555742550976,Central location, Modern apartment, Good natural lighting  
941144778839882076,Historic neighborhood, Unique architectural design, Central location  
941267843854689530,Historic neighborhood, Unique architectural design, Central location  
944409709615723458,Central location, Includes cleaning service, Suitable for solo travelers  
944626116926891457,Remote work setup, Good natural lighting, Cozy atmosphere
944626496598820244,Central location, Near cultural attractions, Close to restaurants and cafes  
944626922730964974,Luxury apartment, Stylish and modern decor, Ideal for couples  
944659275892414417,Quiet area, Cozy atmosphere, Central location  
944666817028179237,Close to public transportation, Nearby parks or green spaces, Family-friendly  
944685057771641140,Historic neighborhood, Unique architectural design, Near major landmarks  
944687990379779227,Pet-friendly, Good natural lighting, Family-friendly  
941292356155012836,Historic neighborhood, Central location, Close to public transportation  
941318263212388643,Central location, Close to nightlife, Cozy atmosphere  
941698626191729518,Close to the beach, Good natural lighting, Multi-generational family-friendly  
941791773105452245,Near cultural attractions, Cozy atmosphere, Suitable for solo travelers
941853655660341750,Unique architectural design, Luxury apartment, Near major landmarks  
944692825346938014,Historic neighborhood, Central location, Near cultural attractions  
944713689528238271,Modern apartment, Near the beach, Spacious living areas  
944746716936008620,Family-friendly, Quiet area, Modern apartment  
944862135949139296,Ideal for couples, Perfect for digital nomads, Remote work setup  
944897448093933754,Luxury apartment, Good natural lighting, Family-friendly  
944995445874261179,Peaceful courtyard access, Quiet area, Near public transportation  
945114961299958800,Central location, Safe neighborhood, Close to major landmarks  
945220433716004016,Compact and efficient studio, Good natural lighting, Affordable  
941859400236900164,Central location, Family-friendly, Spacious living areas
942352663068604421,Safe neighborhood, Central location, Quiet area  
942382012883711649,Near public transportation, Close to major landmarks, Quiet area  
942400459284582165,Peaceful courtyard access, Ideal for couples, Warm and relaxing ambiance  
945230857416945767,Budget-friendly, Perfect for extended stays, Compact and efficient studio  
945238215519507716,Family-friendly, Spacious living areas, Rooftop terrace or balcony  
945300657120519684,Near public transportation, Suitable for solo travelers, Quiet street  
945371796339088145,Luxury apartment, Historic neighborhood, Central location  
945376516476698430,Stylish and modern decor, Warm and relaxing ambiance, Quiet area  
945409590414680889,Central location, Near public transportation, Quiet street  
945481607442013790,Historic neighborhood, Central location, Luxury apartment
945495341569015960,Central location, Family-friendly, Close to restaurants and cafes  
945501913718978288,none,,
948575052950485973,Beachfront, Modern apartment, Close to nightlife  
948646673505094105,Central location, Ideal for couples, Includes high-speed WiFi  
948988237778801233,Quiet area, Cozy atmosphere, Central location  
948993076618166380,Central location, Near major landmarks, Stylish and modern decor  
949157011432027629,Good natural lighting, Suitable for solo travelers, Quiet area  
949190080466702445,Near public transportation, Budget-friendly, Local artisan decor  
949209271410491405,Perfect for extended stays, Fully equipped kitchen, Remote work setup  
949211273896960379,Perfect for extended stays, Fully equipped kitchen, Remote work setup  
945502113612217138,Central location, Remote work setup, Close to restaurants and cafes
945502140694412649,Central location, Close to restaurants and cafes, Modern apartment  
945574562212872323,Central location, Close to restaurants and cafes, Modern apartment  
945574603979389510,Central location, Close to restaurants and cafes, Modern apartment  
945574727073163330,Central location, Close to restaurants and cafes, Modern apartment  
945597638228159428,Central location, Near public transportation, Ideal for couples  
945605085216879906,Central location, Near public transportation, Family-friendly  
945635267973398578,Central location, Close to restaurants and cafes, Modern apartment  
945728949937558690,Central location, Near public transportation, Near major landmarks  
949278638815762417,Central location, Near public transportation, Ideal for couples  
949280059239764957,Central location, Near public transportation, Ideal for couples
949344955412733627,Yoga Space, Quiet area, Unique architectural design  
949384115283907730,Central location, Near public transportation, Quiet area  
949403146161606234,Near public transportation, Quiet area, Peaceful atmosphere  
949514110183931099,Modern apartment, Ideal for families, Close to major landmarks  
949559777686881800,Family-friendly, Near major landmarks, Panoramic city views  
949770371381406754,Cozy atmosphere, Good natural lighting, Quiet area  
949816633365792295,Panoramic city views, Stylish and modern decor, Private entrance  
949836364257222720,Central location, Close to shopping areas, Historic neighborhood  
949847564684726730,Budget-friendly, Family-friendly, Suitable for solo travelers  
946035304762619330,Near public transportation, Central location, Close to beaches
946164893324901310,Central location, Safe neighborhood, Perfect for extended stays  
946236489837713512,Central location, Near public transportation, Good natural lighting  
946351054291464199,Safe neighborhood, Near public transportation, Central location  
946380408504530313,Central location, Safe neighborhood, Perfect for extended stays  
946530956994948668,Central location, Close to restaurants and cafes, Safe neighborhood  
946861589663604334,Central location, Close to restaurants and cafes, Near cultural attractions  
946938917935250086,Peaceful courtyard access, Quiet area, Unique architectural design  
947076761769975651,Near public transportation, Quiet area, Perfect for extended stays  
947156133738694653,Central location, Close to major landmarks, Safe neighborhood  
949858217021025191,Suitable for solo travelers, Flexible check-in, Close to local markets
949871914963836616,Central location, Cozy atmosphere, Unique architectural design  
947493295148520692,Fully equipped kitchen, Includes cleaning service, Cozy atmosphere  
947518669187704799,none,,
947526516360224954,none,,
947555211550251071,Central location, Close to restaurants and cafes, Near public transportation  
947564659257186817,none,,
947565841810448357,Family-friendly, Cozy atmosphere, Charming old-town vibe  
947575777497869385,Cozy atmosphere, Ideal for couples, Near public transportation  
947596502717766691,Central location, Cozy atmosphere, Ideal for couples  
947611103632645972,Luxury apartment, Includes laundry facilities, Panoramic city views  
949895598508133690,Fully equipped kitchen, Good natural lighting, Compact and efficient studio  
949980612930869561,Ideal for couples, Suitable for solo travelers, Business traveler-friendly  
949987822724422726,Ideal for couples, Suitable for solo travelers, Business traveler-friendly
950039730069038028,Central location, Family-friendly, Quiet area  
950060781957530941,Modern apartment, Central location, Fully equipped kitchen  
950101749453190159,Unique architectural design, Artistic atmosphere, Stylish and modern decor  
950113601812775397,Quiet area, Family-friendly, Spacious living areas  
947624522727220296,Luxury apartment, Ideal for couples, Event hosting space  
947671696524874022,Perfect for extended stays, Modern apartment, Urban retreat  
947676097371723802,Near public transportation, Stylish and modern decor, Ideal for couples  
947681597636900556,Family-friendly, Fully equipped kitchen, Spacious living areas  
947702300496570629,none,,
947719987546685726,Near public transportation, Close to restaurants and cafes, Modern apartment  
947750363141585370,Budget-friendly, Panoramic city views, Quiet area
947758194949123913,Quiet area, Near cultural attractions, Family-friendly  
947778844710091627,Perfect for extended stays, Modern apartment, Near major landmarks  
950115648786933782,Quiet area, Central location, Ideal for couples  
